2025-07-22 21:56:09.405 [INFO   ] EventBus initialized
2025-07-22 21:56:17.753 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.812 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.868 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.922 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:17.976 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.031 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.085 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.142 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.200 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.254 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.348 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.406 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.460 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.513 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.572 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.625 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.680 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.734 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.791 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.844 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.896 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:18.949 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.006 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.060 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.114 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.171 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.225 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.282 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.336 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.395 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.450 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.505 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.560 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.614 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.669 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.724 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.781 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.835 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.891 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.944 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:19.997 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.051 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.108 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.165 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.221 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.277 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.338 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.395 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.454 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.507 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.560 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.615 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.671 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.727 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.783 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.842 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.898 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:20.958 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.020 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.077 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.135 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.192 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.248 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.306 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.365 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.424 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 21:56:21.488 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:18.869 [INFO   ] EventBus initialized
2025-07-22 22:01:19.841 [INFO   ] Configuration loaded from: /home/teej/projects/github/praxis/_Config/settings.json
2025-07-22 22:01:20.225 [INFO   ] StateManager: State loaded successfully from /home/teej/projects/github/praxis/_State/application.json
2025-07-22 22:01:20.234 [INFO   ] StateManager initialized: Path=/home/teej/projects/github/praxis/_State/application.json, AutoSave=True
2025-07-22 22:01:24.823 [INFO   ] Starting PRAXIS main loop
2025-07-22 22:01:24.866 [INFO   ] ScreenManager.Run: Starting main loop
2025-07-22 22:01:24.872 [INFO   ] Active screen: MainScreen
2025-07-22 22:01:24.875 [INFO   ] Active screen.Active: True
2025-07-22 22:01:25.475 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.550 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.605 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.659 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.713 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.767 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.826 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.881 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.937 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:25.991 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.046 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.105 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.164 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.218 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.272 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.331 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.385 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.442 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.498 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.561 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.619 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.677 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.731 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.788 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.847 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.902 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:26.959 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.014 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.070 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.128 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.186 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.240 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.297 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.351 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.406 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.460 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.516 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.569 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.697 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.751 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.807 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.862 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.920 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:27.975 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.029 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.083 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.136 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.194 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.252 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.313 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.369 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.422 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.475 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.528 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.582 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.637 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.697 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
2025-07-22 22:01:28.762 [ERROR  ] Error in input handling - InvalidOperationException: Cannot see if a key has been pressed when either application does not have a console or when console input has been redirected from a file. Try Console.In.Peek.
